signal,generated_code_status,pgb_offset,assigned_signal_expression,runtime_waveform_status
PAPER_OVL1_RELAY_ENABLE,present,92,PAPER_OVL1_RELAY_ENABLE,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_TIMER_OR_CURVE_STATE,present,166,PAPER_OVL1_TIMER_OR_CURVE_STATE,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_RELAY_ENABLE,present,168,PAPER_OVL1_ABOVE_THRESHOLD,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_FIRST_TRIP_TIME_S,present,169,PAPER_OVL1_FIRST_TRIP_TIME_S,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_LOADING_INDEX_EQ,present,170,PAPER_OVL1_LOADING_INDEX_EQ,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_TRIP_EVENT_VALID,present,172,PAPER_OVL1_BRK_CMD,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_EFFECTIVE_CAPACITY_PU,present,173,PAPER_OVL1_EFFECTIVE_CAPACITY_PU,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_BRK_STATE,present,174,REAL(PAPER_OVL1_BRK_STATE),unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_S_MAX_PU,present,177,PAPER_OVL1_S_MAX_PU,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_BRK_CMD,present,178,PAPER_OVL1_BRK_CMD,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_S_B_PU,present,179,PAPER_OVL1_S_B_PU,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_TRIP_REQUEST,present,181,PAPER_OVL1_BRK_CMD,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_S_A_PU,present,183,PAPER_OVL1_S_A_PU,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_RELAY_ENABLE,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_TIMER_OR_CURVE_STATE,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_RELAY_ENABLE,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_FIRST_TRIP_TIME_S,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_LOADING_INDEX_EQ,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_TRIP_EVENT_VALID,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_EFFECTIVE_CAPACITY_PU,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_BRK_STATE,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_S_MAX_PU,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_BRK_CMD,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_S_B_PU,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_TRIP_REQUEST,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
PAPER_OVL1_S_A_PU,present,,,unavailable_missing_3IBR_DFIG1_TRIAL_inf_and_prefixed_out_files
