time_s,FAULT_ACTIVE_REFERENCE,stage4_VIBR1_2,stage9_VIBR1_2,stage4_PIBR1_2,stage9_PIBR1_2,stage4_QIBR1_2,stage9_QIBR1_2,stage4_DFIG_LVRT_LOWV,stage9_DFIG_LVRT_LOWV,stage4_DFIG_LVRT_IMMTRIP,stage9_DFIG_LVRT_IMMTRIP,stage4_DFIG_LVRT_TIMER_S,stage9_DFIG_LVRT_TIMER_S,stage4_DFIG_LVRT_DURATION_EXCEEDED,stage9_DFIG_LVRT_DURATION_EXCEEDED,stage4_DFIG_LVRT_TRIP_REQUEST,stage9_DFIG_LVRT_TRIP_REQUEST,stage4_DFIG_LVRT_TRIP_LATCH,stage9_DFIG_LVRT_TRIP_LATCH,stage4_DFIG_LVRT_FINAL_BRK_CMD,stage9_DFIG_LVRT_FINAL_BRK_CMD,stage4_DFIG_LVRT_FINAL_CMD_BOOL,stage9_DFIG_LVRT_FINAL_CMD_BOOL,stage4_DFIG_LVRT_BRK_OPEN_BOOL,stage9_DFIG_LVRT_BRK_OPEN_BOOL,stage4_DFIG_LVRT_TRIP_CONFIRMED,stage9_DFIG_LVRT_TRIP_CONFIRMED,stage4_DFIG_LVRT_CASCADE_EVENT_VALID,stage9_DFIG_LVRT_CASCADE_EVENT_VALID,stage4_DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,stage9_DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,stage4_DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,stage9_DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,stage4_DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,stage9_DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,stage4_DFIG_LVRT_CASCADE_AVAILABLE,stage9_DFIG_LVRT_CASCADE_AVAILABLE,stage4_DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,stage9_DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,stage4_DFIG_LVRT_EXISTING_BRK_CMD,stage9_DFIG_LVRT_EXISTING_BRK_CMD,stage4_DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,stage9_DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,stage4_DFIG_LVRT_TALLOW_S,stage9_DFIG_LVRT_TALLOW_S,stage4_E_28_29_1_A_P,stage9_E_28_29_1_A_P,stage4_E_28_29_1_A_Q,stage9_E_28_29_1_A_Q,stage4_E_28_29_1_B_P,stage9_E_28_29_1_B_P,stage4_E_28_29_1_B_Q,stage9_E_28_29_1_B_Q,stage4_PAPER_OVL1_S_MAX_PU,stage9_PAPER_OVL1_S_MAX_PU,stage4_PAPER_OVL1_LOADING_INDEX_EQ,stage9_PAPER_OVL1_LOADING_INDEX_EQ,stage4_PAPER_OVL1_ABOVE_THRESHOLD,stage9_PAPER_OVL1_ABOVE_THRESHOLD,stage4_PAPER_OVL1_TIMER_OR_CURVE_STATE,stage9_PAPER_OVL1_TIMER_OR_CURVE_STATE,stage4_PAPER_OVL1_TRIP_REQUEST,stage9_PAPER_OVL1_TRIP_REQUEST,stage4_PAPER_OVL1_BRK_STATE,stage9_PAPER_OVL1_BRK_STATE
0.0,0,7.9015918286441e-05,7.9015918286441e-05,-6.1758973797331e-06,-6.1758973797331e-06,-9.1591328086474e-21,-9.1591328086474e-21,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,-2.8387772292467e-28,-2.6957308501233e-27,-5.5186322624168e-60,-3.7085208803441e-56,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
0.01,0,0.076190531158559,0.07609065564831,-0.49833242622884,-0.49009344605982,-0.041847802705914,-0.040404686668388,1.0,1.0,1.0,1.0,0.0099974999999997,0.0099974999999997,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.0034265585373895,-0.0052988564997442,0.00053108951629839,0.00050374950568,-0.0036307363003249,-0.0056215910271724,0.00074592479226703,0.0005724836209474,,0.0056414698782986,,0.00071656966944569,,0.0,,0.0,,0.0,,0.0
0.02,0,0.11613952534593,0.11491183428071,-0.6366022837168,-0.61608906813777,0.33642982967848,0.32879809496918,1.0,1.0,1.0,1.0,0.019997500000001,0.019997500000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.030128676031412,-0.045891854410517,0.0012314493507937,-0.00014505728152382,-0.031013052641225,-0.047305919516885,0.0024253175758201,-0.00072795715621623,,0.047276996634215,,0.0060050416968249,,0.0,,0.0,,0.0,,0.0
0.03,0,0.19912938707732,0.1974251413233,-1.3851177262369,-1.3722637683455,1.051417983708,1.0319151523218,1.0,1.0,1.0,1.0,0.029997500000004,0.029997500000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.099129595411291,-0.15029975937623,0.0051825267940669,0.001200587218716,-0.10115140863552,-0.1536636336158,0.0084781559817282,-0.001662452592469,,0.15360097351355,,0.019510127890701,,0.0,,0.0,,0.0,,0.0
0.04,0,0.29658916608375,0.29479917599555,-2.3613365464556,-2.3384847430586,2.7098282525349,2.6796951520686,1.0,1.0,0.0,0.0,0.039997500000001,0.039997500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.2185260326165,-0.3312010625901,0.013352096140569,0.0054391608567258,-0.22201960883886,-0.33723748575002,0.020169779803569,-0.0016228400790639,,0.33712647851326,,0.042821217604815,,0.0,,0.0,,0.0,,0.0
0.05,0,0.39756782912292,0.39571237926866,-3.2015461914958,-3.1853769352687,4.8717614073198,4.8047974704304,1.0,1.0,0.0,0.0,0.049997499999997,0.049997499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.39798488423237,-0.60250253366281,0.025522185167687,0.011858803440565,-0.40326594848356,-0.61185164707096,0.037413544890273,-0.0017407150131611,,0.61169587160763,,0.077696543272401,,0.0,,0.0,,0.0,,0.0
0.06,0,0.49978528779818,0.49774028165532,-4.3671665291573,-4.3380493010894,7.9765064089418,7.9227106075521,1.0,1.0,0.0,0.0,0.059997499999993,0.059997499999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.6392545929551,-0.9676630716268,0.046024618782667,0.026104406651884,-0.64682534693146,-0.98135480546227,0.064639940056881,0.0034656401285112,,0.98114945539372,,0.12462389343473,,0.0,,0.0,,0.0,,0.0
0.07,0,0.60200468393687,0.59975141761745,-5.0177403134791,-4.9764621379165,12.059580969599,11.947508657277,1.0,1.0,0.0,0.0,0.0699975,0.0699975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-0.94433231962491,-1.4292017722705,0.069497116156988,0.040823783890291,-0.95428821702677,-1.4476218488397,0.096463511870052,0.0066028250718283,,1.4473792784966,,0.18384359280983,,0.0,,0.0,,0.0,,0.0
0.08,0,0.70297885633993,0.70034553738587,-6.2889409732161,-6.2670046037131,16.194071826466,16.064376855881,1.0,1.0,0.0,0.0,0.07999750000001,0.07999750000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-1.3188967727551,-1.9952875560241,0.099626068085462,0.060797266039814,-1.3317715603047,-2.0194483717034,0.13671764644835,0.012133849572773,,2.0191749752323,,0.256472085426,,0.0,,0.0,,0.0,,0.0
0.09,0,0.80374790494347,0.80097752868884,-7.1401833247051,-7.0675615952003,21.999673182226,21.865822760349,1.0,1.0,0.0,0.0,0.08999750000002,0.08999750000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.625,0.625,-1.7570085712124,-2.6581433972075,0.13661892824121,0.086191100129259,-1.773074461016,-2.6887606035807,0.18542979854712,0.020415044734203,,2.6884742106131,,0.34148530754777,,0.0,,0.0,,0.0,,0.0
