run,window,start_s,end_s,signal,runtime_status,raw_units_from_inf,min,mean,max
stage4,pre_fault,0.0,0.49,VIBR1_2,readable,,7.9015918286441e-05,0.8802858881125598,1.0137134800683
stage4,pre_fault,0.0,0.49,PIBR1_2,readable,,-21.808036269519,-2.5156872130201733,-6.1758973797331e-06
stage4,pre_fault,0.0,0.49,QIBR1_2,readable,,-0.041847802705914,25.950979105906463,37.607786790417
stage4,pre_fault,0.0,0.49,DFIG_LVRT_LOWV,readable,logic,0.0,0.2,1.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.08,1.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_TIMER_S,readable,s,0.0,0.008999550000000515,0.08999750000002
stage4,pre_fault,0.0,0.49,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.06,1.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_LATCH,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_FINAL_CMD_BOOL,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_BRK_OPEN_BOOL,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_CONFIRMED,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,1.0,1.0,1.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_AVAILABLE,readable,,1.0,1.0,1.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,-1.0,-0.98,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
stage4,pre_fault,0.0,0.49,DFIG_LVRT_TALLOW_S,readable,s,0.625,1.725,2.0
stage4,pre_fault,0.0,0.49,E_28_29_1_A_P,readable,,-3.5311829636375,-2.8641741843525352,0.0
stage4,pre_fault,0.0,0.49,E_28_29_1_A_Q,readable,,0.0,0.17975367909526946,0.22170761736175
stage4,pre_fault,0.0,0.49,E_28_29_1_B_P,readable,,-3.5475087126119,-2.878406244510126,-2.8387772292467e-28
stage4,pre_fault,0.0,0.49,E_28_29_1_B_Q,readable,,-5.5186322624168e-60,0.2609318994294132,0.32161392079914
stage4,pre_fault,0.0,0.49,PAPER_OVL1_S_MAX_PU,runtime_unavailable,,,,
stage4,pre_fault,0.0,0.49,PAPER_OVL1_LOADING_INDEX_EQ,runtime_unavailable,,,,
stage4,pre_fault,0.0,0.49,PAPER_OVL1_ABOVE_THRESHOLD,runtime_unavailable,,,,
stage4,pre_fault,0.0,0.49,PAPER_OVL1_TIMER_OR_CURVE_STATE,runtime_unavailable,,,,
stage4,pre_fault,0.0,0.49,PAPER_OVL1_TRIP_REQUEST,runtime_unavailable,,,,
stage4,pre_fault,0.0,0.49,PAPER_OVL1_BRK_STATE,runtime_unavailable,,,,
stage4,fault,0.5,2.5,VIBR1_2,readable,,0.85254967423946,0.8639348132370043,1.0036887879326
stage4,fault,0.5,2.5,PIBR1_2,readable,,-9.3095520422888,151.14705227843325,203.23941237687
stage4,fault,0.5,2.5,QIBR1_2,readable,,-40.520679705944,-16.567846449657086,48.964072084755
stage4,fault,0.5,2.5,DFIG_LVRT_LOWV,readable,logic,0.0,0.9900497512437811,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.0,0.0
stage4,fault,0.5,2.5,DFIG_LVRT_TIMER_S,readable,s,0.0,0.9857653109481448,1.9856725000088
stage4,fault,0.5,2.5,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_TRIP_LATCH,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_FINAL_CMD_BOOL,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_BRK_OPEN_BOOL,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_TRIP_CONFIRMED,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,0.0,0.03980099502487562,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,0.0,0.9601990049751243,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_CASCADE_AVAILABLE,readable,,0.0,0.9601990049751243,1.0
stage4,fault,0.5,2.5,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,-1.0,-0.8636732338308458,2.42521
stage4,fault,0.5,2.5,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage4,fault,0.5,2.5,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
stage4,fault,0.5,2.5,DFIG_LVRT_TALLOW_S,readable,s,1.9003875209017,1.9228144255241604,2.0
stage4,fault,0.5,2.5,E_28_29_1_A_P,readable,,-3.5204700746374,0.07959787800032249,0.13005290653154
stage4,fault,0.5,2.5,E_28_29_1_A_Q,readable,,0.20460252815464,1.2714972257208517,1.2995378960693
stage4,fault,0.5,2.5,E_28_29_1_B_P,readable,,-3.5360216258097,-0.039917256167592834,0.0063124099966483
stage4,fault,0.5,2.5,E_28_29_1_B_Q,readable,,0.0011684348174267,0.00578115406842389,0.30476086425813
stage4,fault,0.5,2.5,PAPER_OVL1_S_MAX_PU,runtime_unavailable,,,,
stage4,fault,0.5,2.5,PAPER_OVL1_LOADING_INDEX_EQ,runtime_unavailable,,,,
stage4,fault,0.5,2.5,PAPER_OVL1_ABOVE_THRESHOLD,runtime_unavailable,,,,
stage4,fault,0.5,2.5,PAPER_OVL1_TIMER_OR_CURVE_STATE,runtime_unavailable,,,,
stage4,fault,0.5,2.5,PAPER_OVL1_TRIP_REQUEST,runtime_unavailable,,,,
stage4,fault,0.5,2.5,PAPER_OVL1_BRK_STATE,runtime_unavailable,,,,
stage4,post_fault_short,2.5,3.5,VIBR1_2,readable,,0.69433521200662,0.9356882269695894,1.2161291568486
stage4,post_fault_short,2.5,3.5,PIBR1_2,readable,,-2.6674398526467,0.1103747136373005,7.1651812537567
stage4,post_fault_short,2.5,3.5,QIBR1_2,readable,,-6.0265251520896,0.000838316375936666,7.8091226546317
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_LOWV,readable,logic,0.0,0.49504950495049505,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.0,0.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_TIMER_S,readable,s,1.9856725000088,2.257724207919897,2.472587499991
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.49504950495049505,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.49504950495049505,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_TRIP_LATCH,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_FINAL_CMD_BOOL,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_BRK_OPEN_BOOL,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_TRIP_CONFIRMED,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,1.0,1.0,1.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,0.0,0.0,0.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_AVAILABLE,readable,,0.0,0.0,0.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,2.42521,2.42521,2.42521
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
stage4,post_fault_short,2.5,3.5,DFIG_LVRT_TALLOW_S,readable,s,1.594011781272,1.6421133015247178,1.9003875209017
stage4,post_fault_short,2.5,3.5,E_28_29_1_A_P,readable,,-16.505714570401,-4.796287622278497,7.2223477554319
stage4,post_fault_short,2.5,3.5,E_28_29_1_A_Q,readable,,-15.106836266585,-9.652646130877494,1.2875515494614
stage4,post_fault_short,2.5,3.5,E_28_29_1_B_P,readable,,-16.722585481185,-5.0474615380464325,6.961866122157
stage4,post_fault_short,2.5,3.5,E_28_29_1_B_Q,readable,,-16.300323239211,-11.809052592432062,0.0018849670972762
stage4,post_fault_short,2.5,3.5,PAPER_OVL1_S_MAX_PU,runtime_unavailable,,,,
stage4,post_fault_short,2.5,3.5,PAPER_OVL1_LOADING_INDEX_EQ,runtime_unavailable,,,,
stage4,post_fault_short,2.5,3.5,PAPER_OVL1_ABOVE_THRESHOLD,runtime_unavailable,,,,
stage4,post_fault_short,2.5,3.5,PAPER_OVL1_TIMER_OR_CURVE_STATE,runtime_unavailable,,,,
stage4,post_fault_short,2.5,3.5,PAPER_OVL1_TRIP_REQUEST,runtime_unavailable,,,,
stage4,post_fault_short,2.5,3.5,PAPER_OVL1_BRK_STATE,runtime_unavailable,,,,
stage4,pre_first_trip_redistribution,3.5,7.5,VIBR1_2,readable,,0.72672448041822,0.9560064719562452,1.1917133723276
stage4,pre_first_trip_redistribution,3.5,7.5,PIBR1_2,readable,,-0.00093933385312854,-0.00045296061167338016,-0.00010927376682603
stage4,pre_first_trip_redistribution,3.5,7.5,QIBR1_2,readable,,-0.00026105684558967,-6.572334307968695e-08,0.00026258570512795
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_LOWV,readable,logic,0.0,0.41895261845386533,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.0,0.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_TIMER_S,readable,s,2.472587499991,3.248377668290782,4.1217599999285
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.41895261845386533,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.41895261845386533,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_TRIP_LATCH,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_FINAL_CMD_BOOL,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_BRK_OPEN_BOOL,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_TRIP_CONFIRMED,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,1.0,1.0,1.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,0.0,0.0,0.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_CASCADE_AVAILABLE,readable,,0.0,0.0,0.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,2.42521,2.42521,2.42521
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
stage4,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_TALLOW_S,readable,s,1.594011781272,1.594011781272,1.594011781272
stage4,pre_first_trip_redistribution,3.5,7.5,E_28_29_1_A_P,readable,,-12.820482904924,-2.68776123354776,6.5783152142242
stage4,pre_first_trip_redistribution,3.5,7.5,E_28_29_1_A_Q,readable,,-11.973852978757,-7.2520009194915955,-3.4461596834567
stage4,pre_first_trip_redistribution,3.5,7.5,E_28_29_1_B_P,readable,,-13.000412415184,-2.879251283614997,6.3789357302171
stage4,pre_first_trip_redistribution,3.5,7.5,E_28_29_1_B_Q,readable,,-13.124730774725,-8.824628021556164,-5.4758258787303
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_S_MAX_PU,runtime_unavailable,,,,
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_LOADING_INDEX_EQ,runtime_unavailable,,,,
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_ABOVE_THRESHOLD,runtime_unavailable,,,,
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_TIMER_OR_CURVE_STATE,runtime_unavailable,,,,
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_TRIP_REQUEST,runtime_unavailable,,,,
stage4,pre_first_trip_redistribution,3.5,7.5,PAPER_OVL1_BRK_STATE,runtime_unavailable,,,,
stage9,pre_fault,0.0,0.49,VIBR1_2,readable,,7.9015918286441e-05,0.8775208022389647,1.0107344819026
stage9,pre_fault,0.0,0.49,PIBR1_2,readable,,-21.898131521084,-2.508399950913961,-6.1758973797331e-06
stage9,pre_fault,0.0,0.49,QIBR1_2,readable,,-0.040404686668388,25.79633460081187,37.382797847965
stage9,pre_fault,0.0,0.49,DFIG_LVRT_LOWV,readable,logic,0.0,0.2,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.08,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TIMER_S,readable,s,0.0,0.008999550000000515,0.08999750000002
stage9,pre_fault,0.0,0.49,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.06,1.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_LATCH,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_FINAL_CMD_BOOL,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_BRK_OPEN_BOOL,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_TRIP_CONFIRMED,readable,,0.0,0.0,0.0
stage9,pre_fault,0.0,0.49,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,0.0,0.0,0.0
