event,time_s
fault_start,0.5
fault_clear,2.5
dfig_actual_breaker_open,2.44
dfig_event_valid,2.44
dfig_source_availability_lost,2.44
paper_ovl1_pickup,2.53
paper_ovl1_timer_done,7.53
paper_ovl1_actual_open,7.53
paper_ovl2_pickup,7.6
paper_ovl2_timer_done,12.6
paper_ovl2_trip_request,12.6
paper_ovl2_breaker_command,12.6
paper_ovl2_actual_open,12.6
offline_paper_chain_evented_source_count,3
offline_paper_chain_first_event_time_s,2.44
offline_paper_chain_second_event_time_s,7.53
offline_paper_chain_third_event_time_s,12.6
