network_branch_id,window_s,pre_fault_raw_S_mean,post_first_trip_raw_S_mean,delta_from_prefault,trend,claim_boundary,post_first_rank
E_26_29_1,7.55-12.58,2.0581026668209694,23.02355043928541,20.96544777246444,sustained_increase,raw P/Q-derived response only; no thermal rating claim,1
E_17_27_1,7.55-12.58,0.4802986908963388,10.619584192354873,10.139285501458534,sustained_increase,raw P/Q-derived response only; no thermal rating claim,2
E_16_17_1,7.55-12.58,2.471048196378336,10.267195797026583,7.796147600648247,sustained_increase,raw P/Q-derived response only; no thermal rating claim,3
E_26_27_1,7.55-12.58,2.7217210758666877,10.419070709901199,7.697349634034511,sustained_increase,raw P/Q-derived response only; no thermal rating claim,4
E_25_26_1,7.55-12.58,0.6612262697359425,8.180546697403583,7.519320427667641,sustained_increase,raw P/Q-derived response only; no thermal rating claim,5
E_2_25_1,7.55-12.58,2.879592134583696,6.760186555263342,3.880594420679646,sustained_increase,raw P/Q-derived response only; no thermal rating claim,6
E_1_39_1,7.55-12.58,1.3414752593333004,4.995525821922597,3.6540505625892967,sustained_increase,raw P/Q-derived response only; no thermal rating claim,7
E_1_2_1,7.55-12.58,1.2607408478294393,4.890988616412348,3.6302477685829087,sustained_increase,raw P/Q-derived response only; no thermal rating claim,8
E_28_29_1,7.55-12.58,3.555619022059239,0.3848001527545407,-3.170818869304698,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,9
E_16_19_1,7.55-12.58,5.205075100581197,8.29098257166973,3.0859074710885332,sustained_increase,raw P/Q-derived response only; no thermal rating claim,10
E_4_5_1,7.55-12.58,1.4953248338172505,4.30313113440048,2.807806300583229,sustained_increase,raw P/Q-derived response only; no thermal rating claim,11
E_3_4_1,7.55-12.58,1.3260522280207516,4.054598474464749,2.7285462464439973,sustained_increase,raw P/Q-derived response only; no thermal rating claim,12
E_9_39_1,7.55-12.58,0.7910591244560592,3.410793696804309,2.61973457234825,sustained_increase,raw P/Q-derived response only; no thermal rating claim,13
E_8_9_1,7.55-12.58,1.1330714019944161,3.371846836030981,2.238775434036565,sustained_increase,raw P/Q-derived response only; no thermal rating claim,14
E_13_14_1,7.55-12.58,2.8322532385769534,4.456986750658378,1.6247335120814244,sustained_increase,raw P/Q-derived response only; no thermal rating claim,15
E_26_28_1,7.55-12.58,1.5439708436788218,3.0580382265582675,1.5140673828794458,sustained_increase,raw P/Q-derived response only; no thermal rating claim,16
E_14_15_1,7.55-12.58,0.37458134722333747,1.7313863563530623,1.3568050091297248,sustained_increase,raw P/Q-derived response only; no thermal rating claim,17
E_16_21_1,7.55-12.58,3.3615662622324796,4.414219636893369,1.0526533746608897,sustained_increase,raw P/Q-derived response only; no thermal rating claim,18
E_21_22_1,7.55-12.58,6.241894190435102,7.183567397304733,0.9416732068696314,sustained_increase,raw P/Q-derived response only; no thermal rating claim,19
E_5_8_1,7.55-12.58,3.1915261727920408,2.283381121521162,-0.9081450512708789,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,20
E_3_18_1,7.55-12.58,0.7087714980919976,1.570988984305973,0.8622174862139754,sustained_increase,raw P/Q-derived response only; no thermal rating claim,21
E_23_24_1,7.55-12.58,3.5751792527551016,4.411327199698922,0.8361479469438207,sustained_increase,raw P/Q-derived response only; no thermal rating claim,22
E_2_3_1,7.55-12.58,3.4210636188844363,4.246067220218553,0.8250036013341164,sustained_increase,raw P/Q-derived response only; no thermal rating claim,23
E_6_7_1,7.55-12.58,4.295851908732825,3.5323942087677547,-0.7634576999650702,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,24
E_6_11_1,7.55-12.58,3.666446211782523,2.9440356417273494,-0.7224105700551737,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,25
E_16_24_1,7.55-12.58,1.1281910153082422,1.7500786325321709,0.6218876172239287,sustained_increase,raw P/Q-derived response only; no thermal rating claim,26
E_7_8_1,7.55-12.58,1.8481448212712246,1.2313770170207918,-0.6167678042504328,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,27
E_15_16_1,7.55-12.58,3.499403106833716,3.0174165596761213,-0.4819865471575948,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,28
E_17_18_1,7.55-12.58,2.2580841840484807,1.888478133491927,-0.3696060505565537,sustained_decrease,raw P/Q-derived response only; no thermal rating claim,29
E_22_23_1,7.55-12.58,0.7590315557778665,1.1144396695895766,0.3554081138117101,sustained_increase,raw P/Q-derived response only; no thermal rating claim,30
E_4_14_1,7.55-12.58,2.8152728748315163,3.116034001692628,0.30076112686111145,sustained_increase,raw P/Q-derived response only; no thermal rating claim,31
