network_branch_id,window_s,post_first_trip_raw_S_mean,post_second_trip_raw_S_mean,delta_from_post_first,trend,claim_boundary,post_second_rank
E_26_29_1,12.62-15.10,23.02355043928541,0.6644988504528198,-22.35905158883259,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,1
E_26_27_1,12.62-15.10,10.419070709901199,1.4583516457377008,-8.960719064163499,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,2
E_17_27_1,12.62-15.10,10.619584192354873,2.540641054332819,-8.078943138022055,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,3
E_25_26_1,12.62-15.10,8.180546697403583,1.9602551016978775,-6.220291595705706,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,4
E_9_39_1,12.62-15.10,3.410793696804309,8.393994378148655,4.983200681344346,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,5
E_16_17_1,12.62-15.10,10.267195797026583,6.326011976202249,-3.9411838208243335,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,6
E_3_4_1,12.62-15.10,4.054598474464749,0.7311165764295985,-3.3234818980351504,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,7
E_2_25_1,12.62-15.10,6.760186555263342,3.5095102094954163,-3.2506763457679257,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,8
E_1_39_1,12.62-15.10,4.995525821922597,7.984631990065399,2.9891061681428015,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,9
E_8_9_1,12.62-15.10,3.371846836030981,6.326332048272011,2.95448521224103,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,10
E_4_5_1,12.62-15.10,4.30313113440048,1.9127963562383752,-2.3903347781621047,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,11
E_13_14_1,12.62-15.10,4.456986750658378,2.379066937033279,-2.077919813625099,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,12
E_7_8_1,12.62-15.10,1.2313770170207918,3.2157246195480265,1.9843476025272346,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,13
E_17_18_1,12.62-15.10,1.888478133491927,3.778216345761194,1.889738212269267,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,14
E_26_28_1,12.62-15.10,3.0580382265582675,1.1915244269531535,-1.866513799605114,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,15
E_16_19_1,12.62-15.10,8.29098257166973,6.526092635545078,-1.7648899361246517,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,16
E_5_8_1,12.62-15.10,2.283381121521162,3.9985680812676065,1.7151869597464446,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,17
E_3_18_1,12.62-15.10,1.570988984305973,3.2740949177187946,1.7031059334128216,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,18
E_21_22_1,12.62-15.10,7.183567397304733,5.8154481087600605,-1.3681192885446727,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,19
E_2_3_1,12.62-15.10,4.246067220218553,2.998090356117798,-1.247976864100755,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,20
E_1_2_1,12.62-15.10,4.890988616412348,6.069291595153001,1.1783029787406534,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,21
E_14_15_1,12.62-15.10,1.7313863563530623,2.867785222063794,1.1363988657107318,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,22
E_15_16_1,12.62-15.10,3.0174165596761213,4.074870383767857,1.057453824091736,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,23
E_23_24_1,12.62-15.10,4.411327199698922,3.4811456295726706,-0.9301815701262517,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,24
E_16_24_1,12.62-15.10,1.7500786325321709,2.593668458945254,0.843589826413083,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,25
E_6_11_1,12.62-15.10,2.9440356417273494,3.7740959944601618,0.8300603527328123,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,26
E_6_7_1,12.62-15.10,3.5323942087677547,4.3007159116637546,0.7683217028959999,sustained_increase,raw P/Q-derived response only; no third-trip or overload claim,27
E_16_21_1,12.62-15.10,4.414219636893369,3.7726196114957506,-0.6416000253976186,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,28
E_22_23_1,12.62-15.10,1.1144396695895766,0.6236367356014122,-0.49080293398816444,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,29
E_4_14_1,12.62-15.10,3.116034001692628,2.859041013081945,-0.256992988610683,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,30
E_28_29_1,12.62-15.10,0.3848001527545407,0.1481251721399216,-0.2366749806146191,sustained_decrease,raw P/Q-derived response only; no third-trip or overload claim,31
