canonical_title,inf_title_count,runtime_status,pgb_index,out_file_number,out_file,data_column_after_time,units,sample_count,time_start_s,time_end_s,min,max,initial,final
PAPER_OVL1_S_A_PU,1,readable,183,19,3IBR_DFIG1_TRIAL_19.out,3,pu,2001,0.0,20.0,0.0,0.26783453686363,0.0,0.26492158251974
PAPER_OVL1_S_B_PU,1,readable,179,18,3IBR_DFIG1_TRIAL_18.out,9,pu,2001,0.0,20.0,0.0,0.0053931641738526,0.0,0.003841895426959
PAPER_OVL1_S_MAX_PU,1,readable,177,18,3IBR_DFIG1_TRIAL_18.out,7,pu,2001,0.0,20.0,0.0,0.26783453686363,0.0,0.26492158251974
PAPER_OVL1_EFFECTIVE_CAPACITY_PU,1,readable,173,18,3IBR_DFIG1_TRIAL_18.out,3,pu,2001,0.0,20.0,7.87288399,7.87288399,7.87288399,7.87288399
PAPER_OVL1_LOADING_INDEX_EQ,1,readable,170,17,3IBR_DFIG1_TRIAL_17.out,10,pu,2001,0.0,20.0,0.0,0.034019875969699,0.0,0.033649877586948
PAPER_OVL1_ABOVE_THRESHOLD,1,readable,168,17,3IBR_DFIG1_TRIAL_17.out,8,,2001,0.0,20.0,0.0,0.0,0.0,0.0
PAPER_OVL1_TIMER_OR_CURVE_STATE,1,readable,166,17,3IBR_DFIG1_TRIAL_17.out,6,,2001,0.0,20.0,1.0,1.0,1.0,1.0
PAPER_OVL1_TRIP_REQUEST,1,readable,181,19,3IBR_DFIG1_TRIAL_19.out,1,,2001,0.0,20.0,1.0,1.0,1.0,1.0
PAPER_OVL1_BRK_CMD,1,readable,178,18,3IBR_DFIG1_TRIAL_18.out,8,,2001,0.0,20.0,1.0,1.0,1.0,1.0
PAPER_OVL1_BRK_STATE,1,readable,174,18,3IBR_DFIG1_TRIAL_18.out,4,,2001,0.0,20.0,2.0,2.0,2.0,2.0
PAPER_OVL1_TRIP_EVENT_VALID,1,readable,172,18,3IBR_DFIG1_TRIAL_18.out,2,,2001,0.0,20.0,1.0,1.0,1.0,1.0
PAPER_OVL1_FIRST_TRIP_TIME_S,1,readable,169,17,3IBR_DFIG1_TRIAL_17.out,9,s,2001,0.0,20.0,-1.0,-1.0,-1.0,-1.0
PAPER_OVL1_RELAY_ENABLE,1,readable,92,10,3IBR_DFIG1_TRIAL_10.out,2,,2001,0.0,20.0,1.0,1.0,1.0,1.0
