source_project,term,element,id,name,defn,value,definition_scope,xml_path,evidence_class
pnnl_3ibr,Vbase,param,,Vbase,,345 [kV],G_39_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_39_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_39_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_39_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_30_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_30_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_30_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_30_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_37_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_37_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_37_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_37_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_38_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_38_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_38_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_38_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_31_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_31_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_31_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_31_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_32_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_32_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_32_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_32_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_33_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_33_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_33_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_33_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
pnnl_3ibr,Vbase,param,,Vbase,,22 [kV],G_34_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_34_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Machine']/paramlist/param[@name='Vbase'],verified_from_model_file
pnnl_3ibr,Sbase,param,,SBASE,,100 [MVA],G_34_0_1_DYR,/project[@name='3IBR']/definitions/Definition[@name='G_34_0_1_DYR']/schematic[@name='UserCanvas']/User[@name='ETRAN:Electranix_PSSE_Governors']/paramlist/param[@name='SBASE'],verified_from_model_file
