tline_id,eligible,rejection_reason,pre_first_trip_max_s,post_first_trip_5s_floor_s,threshold_t,effective_capacity_c_eff,selection_margin,expected_pickup_time_s,expected_second_open_time_s,selected_5s_window_start_s,selected_5s_window_end_s,sustained_sample_count,score,candidate_status,rank,paper_target_status,selection_basis
E_26_29_1,True,,18.663806161094747,21.51451473385916,20.089160447476953,18.262873134069956,2.850708572764411,9.91,14.91,9.95,14.95,501,345.8085551640641,eligible,1,paper_event_order_proxy,eligible_second_trip_candidate_from_stage11_raw_dual_end_PQ
E_22_23_1,False,post_5s_floor_not_above_pre_first_trip_max,1.3992968713548721,0.4646691973452204,,,-0.9346276740096517,,,8.76,13.76,501,-1.0,rejected,2,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_4_14_1,False,post_5s_floor_not_above_pre_first_trip_max,4.137761912038534,2.126421601205793,,,-2.011340310832741,,,9.9,14.9,501,-1.0,rejected,3,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_3_4_1,False,post_5s_floor_not_above_pre_first_trip_max,5.379532327662546,2.6142683448424133,,,-2.765263982820133,,,8.33,13.33,501,-1.0,rejected,4,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_7_8_1,False,post_5s_floor_not_above_pre_first_trip_max,3.3609754638285176,0.4992741699486799,,,-2.861701293879838,,,7.54,12.54,501,-1.0,rejected,5,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_16_24_1,False,post_5s_floor_not_above_pre_first_trip_max,3.2527595048265776,0.21863089152874537,,,-3.034128613297832,,,7.54,12.54,501,-1.0,rejected,6,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_23_24_1,False,post_5s_floor_not_above_pre_first_trip_max,6.309383734422759,3.271688769212838,,,-3.0376949652099206,,,9.9,14.9,501,-1.0,rejected,7,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_6_11_1,False,post_5s_floor_not_above_pre_first_trip_max,5.189315473172628,2.103576790046821,,,-3.0857386831258067,,,9.86,14.86,501,-1.0,rejected,8,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_6_7_1,False,post_5s_floor_not_above_pre_first_trip_max,6.370850170254102,2.624368173964896,,,-3.7464819962892064,,,9.63,14.63,501,-1.0,rejected,9,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_13_14_1,False,post_5s_floor_not_above_pre_first_trip_max,6.359717971163809,2.588334196946511,,,-3.771383774217298,,,9.17,14.17,501,-1.0,rejected,10,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_14_15_1,False,post_5s_floor_not_above_pre_first_trip_max,4.296687939301387,0.4202689964010559,,,-3.8764189429003313,,,7.6,12.6,501,-1.0,rejected,11,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
E_15_16_1,False,post_5s_floor_not_above_pre_first_trip_max,6.489926961297657,2.174020818520917,,,-4.31590614277674,,,8.89,13.89,501,-1.0,rejected,12,paper_event_order_proxy,post_5s_floor_not_above_pre_first_trip_max
