scenario,item,status
C1,all_required_signals_available,pass
C1,simulation_reached_expected_end,pass
C1,DFIG_LVRT_LOWV_remains_low,pass
C1,DFIG_LVRT_IMMTRIP_remains_low,pass
C1,DFIG_LVRT_DURATION_EXCEEDED_remains_low,pass
C1,DFIG_LVRT_TRIP_REQUEST_remains_low,pass
C1,DFIG_LVRT_TRIP_LATCH_remains_low,pass
C1,DFIG_LVRT_EXISTING_BRK_CMD_remains_low,pass
C1,DFIG_LVRT_FINAL_BRK_CMD_remains_low,pass
C1,DFIG_BRK_STATE_remains_low,pass
C1,voltage_normal_steady_state,pass
C1,clear_semantics_available,pass
C1,active_power_not_cut_off,pass
C2,all_required_signals_available,pass
C2,simulation_reached_expected_end,pass
C2,LOWV_event_present,pass
C2,VIBR1_2_minimum_matches_reference,pass
C2,VSMIN_MEM_minimum_matches_reference,pass
C2,TALLOW_within_bounds,pass
C2,DFIG_LVRT_IMMTRIP_remains_low,pass
C2,DFIG_LVRT_DURATION_EXCEEDED_remains_low,pass
C2,DFIG_LVRT_TRIP_REQUEST_remains_low,pass
C2,DFIG_LVRT_TRIP_LATCH_remains_low,pass
C2,DFIG_LVRT_FINAL_BRK_CMD_remains_low,pass
C2,DFIG_BRK_STATE_remains_low,pass
C2,CLEAR_recovers_high,pass
C2,TIMER_resets_near_zero,pass
C2,VSMIN_MEM_resets_near_one,pass
C2,active_power_not_cut_off,pass
C3,all_required_signals_available,pass
C3,simulation_reached_expected_end,pass
C3,IMMTRIP_remains_low,pass
C3,VSMIN_MEM_minimum_matches_reference,fail
C3,TALLOW_within_bounds,pass
C3,DURATION_EXCEEDED_asserts,pass
C3,TRIP_REQUEST_asserts_near_reference,pass
C3,TRIP_REQUEST_precedes_fault_clear,pass
C3,duration_to_request_ordering,pass
C3,request_to_latch_delay,pass
C3,latch_to_final_delay,pass
C3,final_to_breaker_ordering,pass
C3,TRIP_LATCH_holds_high,pass
C3,FINAL_BRK_CMD_holds_high,pass
C3,BRK_STATE_holds_open,pass
C3,no_startup_false_open,pass
C3,PQ_electrical_response_recorded,pass
