breaker_id,target_type,target_id,pscad_breaker_name,command_field,command_index,status
BR_LINE_1_FROM,line,1,BR_LINE_1_FROM,line_trip_cmd,1,planned
BR_LINE_1_TO,line,1,BR_LINE_1_TO,line_trip_cmd,1,planned
BR_LINE_2_FROM,line,2,BR_LINE_2_FROM,line_trip_cmd,2,planned
BR_LINE_2_TO,line,2,BR_LINE_2_TO,line_trip_cmd,2,planned
BR_LINE_3_FROM,line,3,BR_LINE_3_FROM,line_trip_cmd,3,planned
BR_LINE_3_TO,line,3,BR_LINE_3_TO,line_trip_cmd,3,planned
BR_LINE_4_FROM,line,4,BR_LINE_4_FROM,line_trip_cmd,4,planned
BR_LINE_4_TO,line,4,BR_LINE_4_TO,line_trip_cmd,4,planned
BR_LINE_5_FROM,line,5,BR_LINE_5_FROM,line_trip_cmd,5,planned
BR_LINE_5_TO,line,5,BR_LINE_5_TO,line_trip_cmd,5,planned
BR_LINE_6_FROM,line,6,BR_LINE_6_FROM,line_trip_cmd,6,planned
BR_LINE_6_TO,line,6,BR_LINE_6_TO,line_trip_cmd,6,planned
BR_LINE_7_FROM,line,7,BR_LINE_7_FROM,line_trip_cmd,7,planned
BR_LINE_7_TO,line,7,BR_LINE_7_TO,line_trip_cmd,7,planned
BR_LINE_8_FROM,line,8,BR_LINE_8_FROM,line_trip_cmd,8,planned
BR_LINE_8_TO,line,8,BR_LINE_8_TO,line_trip_cmd,8,planned
BR_LINE_9_FROM,line,9,BR_LINE_9_FROM,line_trip_cmd,9,planned
BR_LINE_9_TO,line,9,BR_LINE_9_TO,line_trip_cmd,9,planned
BR_LINE_10_FROM,line,10,BR_LINE_10_FROM,line_trip_cmd,10,planned
BR_LINE_10_TO,line,10,BR_LINE_10_TO,line_trip_cmd,10,planned
BR_LINE_11_FROM,line,11,BR_LINE_11_FROM,line_trip_cmd,11,planned
BR_LINE_11_TO,line,11,BR_LINE_11_TO,line_trip_cmd,11,planned
BR_LINE_12_FROM,line,12,BR_LINE_12_FROM,line_trip_cmd,12,planned
BR_LINE_12_TO,line,12,BR_LINE_12_TO,line_trip_cmd,12,planned
BR_LINE_13_FROM,line,13,BR_LINE_13_FROM,line_trip_cmd,13,planned
BR_LINE_13_TO,line,13,BR_LINE_13_TO,line_trip_cmd,13,planned
BR_LINE_14_FROM,line,14,BR_LINE_14_FROM,line_trip_cmd,14,planned
BR_LINE_14_TO,line,14,BR_LINE_14_TO,line_trip_cmd,14,planned
BR_LINE_15_FROM,line,15,BR_LINE_15_FROM,line_trip_cmd,15,planned
BR_LINE_15_TO,line,15,BR_LINE_15_TO,line_trip_cmd,15,planned
BR_LINE_16_FROM,line,16,BR_LINE_16_FROM,line_trip_cmd,16,planned
BR_LINE_16_TO,line,16,BR_LINE_16_TO,line_trip_cmd,16,planned
BR_LINE_17_FROM,line,17,BR_LINE_17_FROM,line_trip_cmd,17,planned
BR_LINE_17_TO,line,17,BR_LINE_17_TO,line_trip_cmd,17,planned
BR_LINE_18_FROM,line,18,BR_LINE_18_FROM,line_trip_cmd,18,planned
BR_LINE_18_TO,line,18,BR_LINE_18_TO,line_trip_cmd,18,planned
BR_LINE_19_FROM,line,19,BR_LINE_19_FROM,line_trip_cmd,19,planned
BR_LINE_19_TO,line,19,BR_LINE_19_TO,line_trip_cmd,19,planned
BR_LINE_20_FROM,line,20,BR_LINE_20_FROM,line_trip_cmd,20,planned
BR_LINE_20_TO,line,20,BR_LINE_20_TO,line_trip_cmd,20,planned
BR_LINE_21_FROM,line,21,BR_LINE_21_FROM,line_trip_cmd,21,planned
BR_LINE_21_TO,line,21,BR_LINE_21_TO,line_trip_cmd,21,planned
