bus_id,bus_name,voltage_kv,role,pscad_element_id,status
1,BUS_01,220,network_bus,TBD_GUI,planned
2,BUS_02,220,network_bus,TBD_GUI,planned
3,BUS_03,220,network_bus,TBD_GUI,planned
4,BUS_04,220,network_bus,TBD_GUI,planned
5,BUS_05,220,network_bus,TBD_GUI,planned
6,BUS_06,220,network_bus,TBD_GUI,planned
7,BUS_07,220,network_bus,TBD_GUI,planned
8,BUS_08,220,network_bus,TBD_GUI,planned
9,BUS_09,220,network_bus,TBD_GUI,planned
10,BUS_10,220,network_bus,TBD_GUI,planned
11,BUS_11,220,network_bus,TBD_GUI,planned
12,BUS_12,220,network_bus,TBD_GUI,planned
13,BUS_13,220,network_bus,TBD_GUI,planned
14,BUS_14,220,network_bus,TBD_GUI,planned
15,BUS_15,220,network_bus,TBD_GUI,planned
16,BUS_16,220,network_bus,TBD_GUI,planned
17,BUS_17,220,network_bus,TBD_GUI,planned
18,BUS_18,220,network_bus,TBD_GUI,planned
19,BUS_19,220,network_bus,TBD_GUI,planned
20,BUS_20,220,network_bus,TBD_GUI,planned
21,BUS_21,220,network_bus,TBD_GUI,planned
22,BUS_22,220,network_bus,TBD_GUI,planned
23,BUS_23,220,network_bus,TBD_GUI,planned
24,BUS_24,220,network_bus,TBD_GUI,planned
25,BUS_25,220,network_bus,TBD_GUI,planned
26,BUS_26,220,network_bus,TBD_GUI,planned
27,BUS_27,220,network_bus,TBD_GUI,planned
28,BUS_28,220,network_bus,TBD_GUI,planned
29,BUS_29,220,fault_study_bus,TBD_GUI,planned
30,BUS_30,220,generator_bus,TBD_GUI,planned
31,BUS_31,220,generator_bus,TBD_GUI,planned
32,BUS_32,220,generator_bus,TBD_GUI,planned
33,BUS_33,220,wind_replacement_bus,TBD_GUI,planned
34,BUS_34,220,generator_bus,TBD_GUI,planned
35,BUS_35,220,wind_replacement_bus,TBD_GUI,planned
36,BUS_36,220,generator_bus,TBD_GUI,planned
37,BUS_37,220,generator_bus,TBD_GUI,planned
38,BUS_38,220,wind_replacement_bus,TBD_GUI,planned
39,BUS_39,220,generator_bus,TBD_GUI,planned
