load_id,bus_id,stage1_breaker,stage2_breaker,stage3_breaker,obs_index,command_index,status
load_03,3,BR_LOAD_3_STAGE1,BR_LOAD_3_STAGE2,BR_LOAD_3_STAGE3,1,1,planned
load_04,4,BR_LOAD_4_STAGE1,BR_LOAD_4_STAGE2,BR_LOAD_4_STAGE3,2,2,planned
load_07,7,BR_LOAD_7_STAGE1,BR_LOAD_7_STAGE2,BR_LOAD_7_STAGE3,3,3,planned
load_08,8,BR_LOAD_8_STAGE1,BR_LOAD_8_STAGE2,BR_LOAD_8_STAGE3,4,4,planned
load_12,12,BR_LOAD_12_STAGE1,BR_LOAD_12_STAGE2,BR_LOAD_12_STAGE3,5,5,planned
load_15,15,BR_LOAD_15_STAGE1,BR_LOAD_15_STAGE2,BR_LOAD_15_STAGE3,6,6,planned
load_16,16,BR_LOAD_16_STAGE1,BR_LOAD_16_STAGE2,BR_LOAD_16_STAGE3,7,7,planned
load_18,18,BR_LOAD_18_STAGE1,BR_LOAD_18_STAGE2,BR_LOAD_18_STAGE3,8,8,planned
load_20,20,BR_LOAD_20_STAGE1,BR_LOAD_20_STAGE2,BR_LOAD_20_STAGE3,9,9,planned
load_21,21,BR_LOAD_21_STAGE1,BR_LOAD_21_STAGE2,BR_LOAD_21_STAGE3,10,10,planned
load_23,23,BR_LOAD_23_STAGE1,BR_LOAD_23_STAGE2,BR_LOAD_23_STAGE3,11,11,planned
load_24,24,BR_LOAD_24_STAGE1,BR_LOAD_24_STAGE2,BR_LOAD_24_STAGE3,12,12,planned
load_25,25,BR_LOAD_25_STAGE1,BR_LOAD_25_STAGE2,BR_LOAD_25_STAGE3,13,13,planned
load_26,26,BR_LOAD_26_STAGE1,BR_LOAD_26_STAGE2,BR_LOAD_26_STAGE3,14,14,planned
load_27,27,BR_LOAD_27_STAGE1,BR_LOAD_27_STAGE2,BR_LOAD_27_STAGE3,15,15,planned
load_28,28,BR_LOAD_28_STAGE1,BR_LOAD_28_STAGE2,BR_LOAD_28_STAGE3,16,16,planned
load_29,29,BR_LOAD_29_STAGE1,BR_LOAD_29_STAGE2,BR_LOAD_29_STAGE3,17,17,planned
load_31,31,BR_LOAD_31_STAGE1,BR_LOAD_31_STAGE2,BR_LOAD_31_STAGE3,18,18,planned
load_39,39,BR_LOAD_39_STAGE1,BR_LOAD_39_STAGE2,BR_LOAD_39_STAGE3,19,19,planned
